RC_Chapter,RC_Region,RC_Division,Year,Total_Counties,Total_Households,Poverty_Households,ALICE_Households,Above_ALICE_Households,Poverty_Rate_Pct,ALICE_Rate_Pct,Combined_Rate_Pct
ARC Heart of Tennessee,Tennessee Region,Southeast and Caribbean Division,2010,16,258795,43616,79947,135232,16.85,30.89,47.75
ARC Heart of Tennessee,Tennessee Region,Southeast and Caribbean Division,2012,16,263714,46169,79502,138043,17.51,30.15,47.65
ARC Heart of Tennessee,Tennessee Region,Southeast and Caribbean Division,2014,16,271263,46419,94940,129904,17.11,35.0,52.11
ARC Heart of Tennessee,Tennessee Region,Southeast and Caribbean Division,2016,16,282262,42055,93688,146519,14.9,33.19,48.09
ARC Heart of Tennessee,Tennessee Region,Southeast and Caribbean Division,2018,16,289790,38270,96327,155193,13.21,33.24,46.45
ARC Heart of Tennessee,Tennessee Region,Southeast and Caribbean Division,2019,16,287033,38696,102534,145803,13.48,35.72,49.2
ARC Heart of Tennessee,Tennessee Region,Southeast and Caribbean Division,2021,16,299787,37291,96696,165800,12.44,32.25,44.69
ARC Heart of Tennessee,Tennessee Region,Southeast and Caribbean Division,2022,16,314857,43263,99283,172311,13.74,31.53,45.27
ARC Heart of Tennessee,Tennessee Region,Southeast and Caribbean Division,2023,16,318619,42002,100692,175925,13.18,31.6,44.79
ARC Louisville Area,Kentucky Region,Central Atlantic Division,2010,3,86650,9403,20183,57064,10.85,23.29,34.14
ARC Louisville Area,Kentucky Region,Central Atlantic Division,2012,3,86433,11477,20227,54729,13.28,23.4,36.68
ARC Louisville Area,Kentucky Region,Central Atlantic Division,2014,3,87043,9787,20396,56860,11.24,23.43,34.68
ARC Louisville Area,Kentucky Region,Central Atlantic Division,2016,3,86221,9195,26470,50556,10.66,30.7,41.36
ARC Louisville Area,Kentucky Region,Central Atlantic Division,2018,3,90789,8823,22316,59650,9.72,24.58,34.3
ARC Louisville Area,Kentucky Region,Central Atlantic Division,2019,3,87296,7883,26734,52679,9.03,30.62,39.65
