GeoID,Location_Name,State,State_Abbr,County,Year,Total_Households,Poverty_Households,ALICE_Households,Above_ALICE_Households,Poverty_Rate_Pct,ALICE_Rate_Pct,Combined_Rate_Pct,RC_Chapter,RC_Chapter_Code,RC_Region,RC_Region_Code,RC_Division,RC_Division_Code,RC_FEMA_Region
01001,"Autauga County, Alabama",Alabama,AL,Autauga,2023,22523,2251,7510,12762,10.0,33.3,43.3,ARC serving Central East Alabama,01216,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01003,"Baldwin County, Alabama",Alabama,AL,Baldwin,2023,105698,9980,31119,64599,9.4,29.4,38.9,ARC serving South Alabama,01208,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01005,"Barbour County, Alabama",Alabama,AL,Barbour,2023,9080,2008,3367,3705,22.1,37.1,59.2,ARC serving South Alabama,01208,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01007,"Bibb County, Alabama",Alabama,AL,Bibb,2023,7571,1552,2908,3111,20.5,38.4,58.9,ARC serving Central West Alabama,01288,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01009,"Blount County, Alabama",Alabama,AL,Blount,2023,21977,3464,7515,10998,15.8,34.2,50.0,ARC serving Mid Alabama,01019,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01011,"Bullock County, Alabama",Alabama,AL,Bullock,2023,3453,957,1537,959,27.7,44.5,72.2,ARC serving Central East Alabama,01216,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01013,"Butler County, Alabama",Alabama,AL,Butler,2023,7262,1443,2703,3116,19.9,37.2,57.1,ARC serving South Alabama,01208,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01015,"Calhoun County, Alabama",Alabama,AL,Calhoun,2023,46310,10164,13829,22317,21.9,29.9,51.8,ARC serving Mid Alabama,01019,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01017,"Chambers County, Alabama",Alabama,AL,Chambers,2023,13419,2437,4861,6121,18.2,36.2,54.4,ARC serving Central East Alabama,01216,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01019,"Cherokee County, Alabama",Alabama,AL,Cherokee,2023,10477,1671,3551,5255,15.9,33.9,49.8,ARC serving North Alabama,01192,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
