RC_Region,RC_Division,Year,Total_Chapters,Total_Counties,Total_Households,Poverty_Households,ALICE_Households,Above_ALICE_Households,Poverty_Rate_Pct,ALICE_Rate_Pct,Combined_Rate_Pct
Alabama and Mississippi Region,Southeast and Caribbean Division,2010,8,147,2845829,543873,805648,1496308,19.11,28.31,47.42
Alabama and Mississippi Region,Southeast and Caribbean Division,2012,8,147,2874598,574364,822410,1477824,19.98,28.61,48.59
Alabama and Mississippi Region,Southeast and Caribbean Division,2014,8,147,2877596,569224,849296,1459076,19.78,29.51,49.3
Alabama and Mississippi Region,Southeast and Caribbean Division,2016,8,147,2897919,542086,828336,1527497,18.71,28.58,47.29
Alabama and Mississippi Region,Southeast and Caribbean Division,2018,8,147,2912597,533669,866513,1512415,18.32,29.75,48.07
Alabama and Mississippi Region,Southeast and Caribbean Division,2019,8,147,2928009,515307,873438,1539264,17.6,29.83,47.43
Alabama and Mississippi Region,Southeast and Caribbean Division,2021,8,147,2995903,524324,954077,1517502,17.5,31.85,49.35
Alabama and Mississippi Region,Southeast and Caribbean Division,2022,8,147,3043144,534621,951892,1556631,17.57,31.28,48.85
Alabama and Mississippi Region,Southeast and Caribbean Division,2023,8,147,3097067,536922,930125,1630020,17.34,30.03,47.37
Arizona and New Mexico Region,Southwest and Rocky Mountain Division,2010,1,33,767199,136034,195732,435433,17.73,25.51,43.24
Arizona and New Mexico Region,Southwest and Rocky Mountain Division,2012,1,33,765778,144074,203652,418052,18.81,26.59,45.41
Arizona and New Mexico Region,Southwest and Rocky Mountain Division,2014,1,33,763531,146457,223264,393810,19.18,29.24,48.42
Arizona and New Mexico Region,Southwest and Rocky Mountain Division,2016,1,33,764065,138590,223621,401854,18.14,29.27,47.41
Arizona and New Mexico Region,Southwest and Rocky Mountain Division,2018,1,33,778571,144324,220847,413400,18.54,28.37,46.9
Arizona and New Mexico Region,Southwest and Rocky Mountain Division,2019,1,33,789457,139283,221861,428313,17.64,28.1,45.75
Arizona and New Mexico Region,Southwest and Rocky Mountain Division,2021,1,33,821310,141975,242080,437255,17.29,29.47,46.76
Arizona and New Mexico Region,Southwest and Rocky Mountain Division,2022,1,33,833912,141445,247078,445389,16.96,29.63,46.59
Arizona and New Mexico Region,Southwest and Rocky Mountain Division,2023,1,33,842325,141634,243853,456838,16.81,28.95,45.76
Cascades Region,Pacific Division,2010,4,38,1700398,239627,464557,996214,14.09,27.32,41.41
Cascades Region,Pacific Division,2012,4,38,1710659,256704,477210,976745,15.01,27.9,42.9
Cascades Region,Pacific Division,2014,4,38,1734633,249521,514364,970748,14.38,29.65,44.04
Cascades Region,Pacific Division,2016,4,38,1774426,222173,513358,1038895,12.52,28.93,41.45
Cascades Region,Pacific Division,2018,4,38,1851885,215682,584675,1051528,11.65,31.57,43.22
Cascades Region,Pacific Division,2019,4,38,1863216,213662,581903,1067651,11.47,31.23,42.7
Cascades Region,Pacific Division,2021,4,38,1929991,224504,612903,1092584,11.63,31.76,43.39
Cascades Region,Pacific Division,2022,4,38,1950668,226455,634371,1089842,11.61,32.52,44.13
Cascades Region,Pacific Division,2023,4,38,1981252,228609,607682,1144961,11.54,30.67,42.21
Central Appalachia Region,Central Atlantic Division,2010,5,74,1112280,184470,293630,634180,16.58,26.4,42.98
